company_industry,mapped_industry
Financial Services,"finance, banking, financial, investment, insurance, wealth management, asset management, financial planning, fintech, financial technology, Financial Services, venture, capital, venture capital, equity"
Financial Services,"finance, banking, financial, investment, insurance, wealth management, asset management, financial planning, fintech, financial technology, Financial Services, venture, capital, venture capital, equity"
Defense and Space Manufacturing,"aerospace, aviation, aircraft, space, defense, aerospace engineering, aerospace manufacturing, space exploration"
Maritime Transportation,"maritime, transportation, shipping, logistics, freight, ocean transport, sea transport"
International Trade and Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Financial Services,"finance, banking, financial, investment, insurance, wealth management, asset management, financial planning, fintech, financial technology, Financial Services, venture, capital, venture capital, equity"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
"Education Administration Programs,  Colleges & Universities,  Education","education, school, university, college, learning, online education, e-learning, educational services"
"Motor Vehicle Manufacturing,  Manufacturing General,  Automotive,  Cars,  Manufacturing,  Transportation,  Performance,  Electric Vehicle,  Event,  Mechanical Engineering,  Science and Engineering","automotive, car, vehicle, auto, automobile, car manufacturing, vehicle production, auto services"
Oil and Gas,"energy, oil, gas, renewable, power, electricity, solar energy, wind energy, energy services, energy production"
"Business Services General,  Fleet Management,  Business Services,  Vessel Monitoring,  Vessel Tracking,  SSAS (Ship Secuirty Alert Systems),  LRIT Data Centre/ASP services,  LRIT testing services","consulting, advisory, consultant, business consulting, management consulting, strategy consulting, professional services"
Maritime,"maritime, transportation, shipping, logistics, freight, ocean transport, sea transport"
"Financial Services,  Finance,  Finance General,  Other Capital Markets/Institutions","finance, banking, financial, investment, insurance, wealth management, asset management, financial planning, fintech, financial technology, Financial Services, venture, capital, venture capital, equity"
Mining,Other
Wholesale Import and Export,Other
Financial Services,"finance, banking, financial, investment, insurance, wealth management, asset management, financial planning, fintech, financial technology, Financial Services, venture, capital, venture capital, equity"
Financial Services,"finance, banking, financial, investment, insurance, wealth management, asset management, financial planning, fintech, financial technology, Financial Services, venture, capital, venture capital, equity"
Financial Services,"finance, banking, financial, investment, insurance, wealth management, asset management, financial planning, fintech, financial technology, Financial Services, venture, capital, venture capital, equity"
E-Learning Providers,"education, school, university, college, learning, online education, e-learning, educational services"
Mining,Other
Maritime Transportation,"maritime, transportation, shipping, logistics, freight, ocean transport, sea transport"
Information Technology & Services,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Aviation and Aerospace Component Manufacturing,"aerospace, aviation, aircraft, space, defense, aerospace engineering, aerospace manufacturing, space exploration"
Defense and Space Manufacturing,"aerospace, aviation, aircraft, space, defense, aerospace engineering, aerospace manufacturing, space exploration"
Industrial Machinery Manufacturing,"manufacturing, production, factory, industrial, manufacturing plant, assembly line, mass production"
Real Estate,"construction, building, contractor, infrastructure, civil engineering, construction services, real estate development"
"Manufacturing,  Defense and Space Manufacturing","aerospace, aviation, aircraft, space, defense, aerospace engineering, aerospace manufacturing, space exploration"
,Other
Information Technology & Services,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Aviation and Aerospace Component Manufacturing,"aerospace, aviation, aircraft, space, defense, aerospace engineering, aerospace manufacturing, space exploration"
"Higher Education,  Colleges & Universities,  Education","education, school, university, college, learning, online education, e-learning, educational services"
Government Administration,"government, public sector, municipal, state, federal, public administration, government services, public policy"
Government Administration,"government, public sector, municipal, state, federal, public administration, government services, public policy"
Telecommunications,"telecommunications, telecom, communication, network, wireless, broadband, internet services, mobile services"
"Appliances, Electrical, and Electronics Manufacturing","manufacturing, production, factory, industrial, manufacturing plant, assembly line, mass production"
"Metals & Mining General,  Metals & Mining",Other
Aviation and Aerospace Component Manufacturing,"aerospace, aviation, aircraft, space, defense, aerospace engineering, aerospace manufacturing, space exploration"
Aviation and Aerospace Component Manufacturing,"aerospace, aviation, aircraft, space, defense, aerospace engineering, aerospace manufacturing, space exploration"
Aviation and Aerospace Component Manufacturing,"aerospace, aviation, aircraft, space, defense, aerospace engineering, aerospace manufacturing, space exploration"
Book and Periodical Publishing,"entertainment, media, film, music, theater, broadcasting, publishing, content production, multimedia"
Government Administration,"government, public sector, municipal, state, federal, public administration, government services, public policy"
Defense and Space Manufacturing,"aerospace, aviation, aircraft, space, defense, aerospace engineering, aerospace manufacturing, space exploration"
"Appliances, Electrical, and Electronics Manufacturing","manufacturing, production, factory, industrial, manufacturing plant, assembly line, mass production"
"Transportation, Logistics, Supply Chain and Storage","transportation, logistics, freight, delivery, shipping, transport services, cargo, supply chain"
"Retail,  Medical Equipment Manufacturing,  Monitoring Equipment,  Diagnostic Equipment","health, medical, hospital, clinic, healthcare, patient care, medical services, pharmaceutical, biomedical, biotech, biotechnology, life sciences"
Textile Manufacturing,"manufacturing, production, factory, industrial, manufacturing plant, assembly line, mass production"
"Aerospace & Defense,  Manufacturing","aerospace, aviation, aircraft, space, defense, aerospace engineering, aerospace manufacturing, space exploration"
Higher Education,"education, school, university, college, learning, online education, e-learning, educational services"
,Other
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Telecommunications,"telecommunications, telecom, communication, network, wireless, broadband, internet services, mobile services"
Construction,"construction, building, contractor, infrastructure, civil engineering, construction services, real estate development"
Telecommunications,"telecommunications, telecom, communication, network, wireless, broadband, internet services, mobile services"
Computers and Electronics Manufacturing,"manufacturing, production, factory, industrial, manufacturing plant, assembly line, mass production"
Book and Periodical Publishing,"entertainment, media, film, music, theater, broadcasting, publishing, content production, multimedia"
Space Research and Technology,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
"Retail Health and Personal Care Products,  Cosmetics, Beauty Supply & Personal Care Products,  Personal Products,  Personal Care Products,  Consumer Goods,  Internet Retail,  Manufacturing","health, medical, hospital, clinic, healthcare, patient care, medical services, pharmaceutical, biomedical, biotech, biotechnology, life sciences"
"Entertainment Providers,  Restaurants,  Hospitality","food, beverage, restaurant, cafe, drink, food services, hospitality, catering, food production, beverage production"
Space Research and Technology,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Aviation and Aerospace Component Manufacturing,"aerospace, aviation, aircraft, space, defense, aerospace engineering, aerospace manufacturing, space exploration"
Aviation & Aerospace,"aerospace, aviation, aircraft, space, defense, aerospace engineering, aerospace manufacturing, space exploration"
"Appliances, Electrical, and Electronics Manufacturing,  Photographic & Optical Equipment,  MEMs,  Consumer Goods,  Integrated Circuit And Electronics Technology,  Manufacturing,  Machine Vision,  Software,  Framegrabbers,  Semiconductor,  Wafer Processing,  CMOS,  CCD,  Line Scan,  Application Specific Contracts,  Area Scan,  Image Sensors,  X-ray detectors","tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
"Appliances, Electrical, and Electronics Manufacturing,  Test & Measurement Equipment,  DDR 3,  Manufacturing,  DDR 4,  PCIE Express,  USB,  Fibre Channel,  SAS/SATA,  FCOE,  Iscsi",Other
"Appliances, Electrical, and Electronics Manufacturing,  Circuit card assemblies,  Microelectronics packaging solutions,  Mechanical box and backplane assemblies,  Hybrid microcircuits and multichip modules,  Functional testing,  RF microelectronics packaging,  Turnkey material management","finance, banking, financial, investment, insurance, wealth management, asset management, financial planning, fintech, financial technology, Financial Services, venture, capital, venture capital, equity"
"Technology, Information and Media","tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
"Appliances, Electrical, and Electronics Manufacturing","manufacturing, production, factory, industrial, manufacturing plant, assembly line, mass production"
Defense and Space Manufacturing,"aerospace, aviation, aircraft, space, defense, aerospace engineering, aerospace manufacturing, space exploration"
Defense and Space Manufacturing,"aerospace, aviation, aircraft, space, defense, aerospace engineering, aerospace manufacturing, space exploration"
Defense and Space Manufacturing,"aerospace, aviation, aircraft, space, defense, aerospace engineering, aerospace manufacturing, space exploration"
International Trade and Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
"Cable & Satellite,  Telecommunications","telecommunications, telecom, communication, network, wireless, broadband, internet services, mobile services"
"Retail,  E-Commerce,  Commerce and Shopping,  Fashion,  Clothing and Apparel,  Design,  Web Design",Other
Satellite Telecommunications,"telecommunications, telecom, communication, network, wireless, broadband, internet services, mobile services"
"Design,  Consumer Electronics & Computers Retail,  Electrical/Electronic Manufacturing,  Retail,  Luxury Goods & Jewelry","retail, shopping, online shopping, ecommerce, store, online store, consumer goods, retail sales, cosmetics"
Financial Services,"finance, banking, financial, investment, insurance, wealth management, asset management, financial planning, fintech, financial technology, Financial Services, venture, capital, venture capital, equity"
IT Services and IT Consulting,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
"Medical Practices,  Fitness & Dance Facilities,  Health Care,  Health,  Recreation,  Medicine,  Hospitality,  Telemedicine,  Telehealth,  Wellness,  Apps,  Heathcare,  General Practice,  Heath Tracking,  International Healthcare","health, medical, hospital, clinic, healthcare, patient care, medical services, pharmaceutical, biomedical, biotech, biotechnology, life sciences"
Hospitals and Health Care,"health, medical, hospital, clinic, healthcare, patient care, medical services, pharmaceutical, biomedical, biotech, biotechnology, life sciences"
"Movies, Videos and Sound,  Motor Vehicles,  Retail","retail, shopping, online shopping, ecommerce, store, online store, consumer goods, retail sales, cosmetics"
"Banking,  Financial Software,  Finance,  Other Financial Services","finance, banking, financial, investment, insurance, wealth management, asset management, financial planning, fintech, financial technology, Financial Services, venture, capital, venture capital, equity"
Furniture and Home Furnishings Manufacturing,"manufacturing, production, factory, industrial, manufacturing plant, assembly line, mass production"
"Technology, Information and Internet","tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
"Artificial Intelligence,  Software,  Machine Learning,  Software Development,  Business Intelligence (Bi) Software,  Software Development & Design,  Data and Analytics,  Science and Engineering,  Natural Language Processing,  Neuro-Linguistic Programming,  Information Technology,  Data Science,  Sales,  Sales Automation,  Sales and Marketing","tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Consumer Services,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
"Technology, Information and Media","tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
"Computer Software,  Telecommunications General,  Internet,  Telecommunications,  Management Consulting,  Retail,  Financial Services,  Construction,  Venture Capital & Private Equity,  Capital Markets","finance, banking, financial, investment, insurance, wealth management, asset management, financial planning, fintech, financial technology, Financial Services, venture, capital, venture capital, equity"
Banking,"finance, banking, financial, investment, insurance, wealth management, asset management, financial planning, fintech, financial technology, Financial Services, venture, capital, venture capital, equity"
Motor Vehicle Manufacturing,"automotive, car, vehicle, auto, automobile, car manufacturing, vehicle production, auto services"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Non-profit Organizations,Other
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Broadcast Media Production and Distribution,"entertainment, media, film, music, theater, broadcasting, publishing, content production, multimedia"
Computer and Network Security,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Computer and Network Security,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Events Services,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
"Technology, Information and Internet,  Advertising & Marketing,  Global Business Event Directory,  Business Services,  Mobile Device Event Promotion,  Professional and Academic productivity tools,  Seminars, Conferences, Tradeshows, Exhibitions, Webinars","consulting, advisory, consultant, business consulting, management consulting, strategy consulting, professional services"
"Software Development,  Business Intelligence (Bi) Software,  Software,  Event Management,  Event networking,  Software Development & Design,  Events,  Event discovery,  Media and Entertainment,  Mobile apps,  Marketing,  Event promotion,  Sales and Marketing,  Event app,  SaaS,  Business Networking,  Ticketing","tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Computer and Network Security,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Computer and Network Security,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Computer and Network Security,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
"Appliances, Electrical, and Electronics Manufacturing","manufacturing, production, factory, industrial, manufacturing plant, assembly line, mass production"
"Computer and Network Security,  Software Development & Design,  Next Generation Threat Protection,  Software,  Advanced Persistent Threats,  Zero-Day Exploits/Malware,  Targeted Attacks,  Network Security,  Incident Response,  Adaptive Defense,  Cybersecurity","tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
"IT Services and IT Consulting,  Consumer Electronics & Computers Retail,  Consumer Electronics,  Retail,  Hardware,  Cyber Security,  Information Technology,  Privacy and Security,  Electronics","tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
"Music,  Multimedia, Games And Graphics Software,  Independent Music,  Publishing,  Software Development & Design,  Media and Entertainment,  Entertainment Software,  Software,  Music and Audio,  Internet,  Internet Services","tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Computer and Network Security,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Industry Associations,Other
Airlines and Aviation,"aerospace, aviation, aircraft, space, defense, aerospace engineering, aerospace manufacturing, space exploration"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Computer and Network Security,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Computer and Network Security,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
,Other
Professional Training and Coaching,"consulting, advisory, consultant, business consulting, management consulting, strategy consulting, professional services"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Non-profit Organizations,Other
Book and Periodical Publishing,"entertainment, media, film, music, theater, broadcasting, publishing, content production, multimedia"
"Online Audio and Video Media,  Publishing,  Online Publishing,  Media & Internet","retail, shopping, online shopping, ecommerce, store, online store, consumer goods, retail sales, cosmetics"
Public Relations and Communications Services,"media, communications, public relations, advertising, marketing, media services, content creation, broadcasting"
Book and Periodical Publishing,"entertainment, media, film, music, theater, broadcasting, publishing, content production, multimedia"
,Other
"Banking,  Finance,  Financial Services,  Lending and Investments","finance, banking, financial, investment, insurance, wealth management, asset management, financial planning, fintech, financial technology, Financial Services, venture, capital, venture capital, equity"
"Travel Arrangements,  Travel Agencies & Services,  Tourism,  Consumer Services,  Travel and Tourism,  Travel","hospitality, hotel, resort, travel, tourism, lodging, accommodation services, hospitality management"
Travel Arrangements,"hospitality, hotel, resort, travel, tourism, lodging, accommodation services, hospitality management"
IT Services and IT Consulting,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Computer and Network Security,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
IT Services and IT Consulting,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Advertising Services,"media, communications, public relations, advertising, marketing, media services, content creation, broadcasting"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
"Software Development,  Business Intelligence (Bi) Software,  Computer Software,  Software Development & Design,  Linux,  Software","tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Computer and Network Security,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
"Investment Management,  Finance General,  Real Estate Development,  Finance,  Private Equity Real Estate,  Asset Management","finance, banking, financial, investment, insurance, wealth management, asset management, financial planning, fintech, financial technology, Financial Services, venture, capital, venture capital, equity"
Hospitality,"food, beverage, restaurant, cafe, drink, food services, hospitality, catering, food production, beverage production"
"Leisure, Travel & Tourism","hospitality, hotel, resort, travel, tourism, lodging, accommodation services, hospitality management"
,Other
"Software,  Software Development,  Multimedia, Games And Graphics Software,  Augmented Reality,  Mobile Apps,  Software Development & Design,  Hardware,  Mobile Gaming,  Location Based Services,  Internet,  Internet Services,  Video Games,  Gaming,  Virtual Reality","tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
"Retail,  Wall Murals,  Wallpapers,  Canvas Prints,  Custom Wallpapers & Canvas Prints",Other
"TV,  Entertainment Providers,  Information Collection & Delivery,  Content,  Movies,  Media & Internet,  Media and Entertainment,  Celebs,  Video","entertainment, media, film, music, theater, broadcasting, publishing, content production, multimedia"
"Art,  Technology, Information and Internet,  Media & Internet General,  Media & Internet,  Media and Entertainment,  Community,  Communities,  Creativity,  Community and Lifestyle,  Sharing,  E-Commerce,  Ideas,  Commerce and Shopping,  Internet,  Internet Services,  Music,  Music and Audio,  News,  Content and Publishing,  Photography,  Social Media","entertainment, media, film, music, theater, broadcasting, publishing, content production, multimedia"
"Broadcast Media,  Broadcasting,  News,  Media & Internet,  Business News,  Finance News,  Business,  Markets,  Investing,  Technology,  Small Business,  Economy,  Wealth,  Politics,  Europe Business News,  Asia Business News","consulting, advisory, consultant, business consulting, management consulting, strategy consulting, professional services"
"Hospitality,  Lodging & Resorts,  Hotel Management","hospitality, hotel, resort, travel, tourism, lodging, accommodation services, hospitality management"
Hospitality,"food, beverage, restaurant, cafe, drink, food services, hospitality, catering, food production, beverage production"
"Hospitality,  Lodging & Resorts,  Hotels and Resorts,  Other Restaurants, Hotels and Leisure","hospitality, hotel, resort, travel, tourism, lodging, accommodation services, hospitality management"
"Software Development,  Consumer Electronics & Computers Retail,  Retail","retail, shopping, online shopping, ecommerce, store, online store, consumer goods, retail sales, cosmetics"
"Publishing,  Media & Internet","telecommunications, telecom, communication, network, wireless, broadband, internet services, mobile services"
"Real Estate,  Commercial Real Estate Brokerage,  Valuation and Advisory,  Investment and Asset Management,  Properrty Research and Consulting,  Project and Development Services","real estate, property, housing, realty, real estate services, property management, real estate investment, commercial real estate"
"Entertainment Providers,  Lodging & Resorts,  Movies, Music and Entertainment,  Entertainment - Cinema & Performance Theatre,  Hospitality,  Real Estate Investment Trusts (REITs),  Hospitality - Hotels, Resorts, Restaurants & Bars,  Resort management,  Cinema Digital Technology","real estate, property, housing, realty, real estate services, property management, real estate investment, commercial real estate"
,Other
,Other
Hospitality,"food, beverage, restaurant, cafe, drink, food services, hospitality, catering, food production, beverage production"
Defense and Space Manufacturing,"aerospace, aviation, aircraft, space, defense, aerospace engineering, aerospace manufacturing, space exploration"
"Hospitality General,  Hotels and Resorts,  Hospitality,  Leisure Facilities","food, beverage, restaurant, cafe, drink, food services, hospitality, catering, food production, beverage production"
Hospitality,"food, beverage, restaurant, cafe, drink, food services, hospitality, catering, food production, beverage production"
"Non-profit Organizations,  Charitable Organizations & Foundations,  Association,  Philanthropy,  Organizations,  Nonprofit,  Foundation",Other
Real Estate,"construction, building, contractor, infrastructure, civil engineering, construction services, real estate development"
,Other
"Public Relations and Communications Services,  Finance General,  Finance","media, communications, public relations, advertising, marketing, media services, content creation, broadcasting"
Hospitality,"food, beverage, restaurant, cafe, drink, food services, hospitality, catering, food production, beverage production"
Hospitality,"food, beverage, restaurant, cafe, drink, food services, hospitality, catering, food production, beverage production"
"Appliances, Electrical, and Electronics Manufacturing","manufacturing, production, factory, industrial, manufacturing plant, assembly line, mass production"
"Computer Games,  Business Services General,  Business Services","consulting, advisory, consultant, business consulting, management consulting, strategy consulting, professional services"
"Software,  Software Development,  3D Technology,  Multimedia and Design Software,  3D Modeling,  Software Development & Design,  Hardware,  Architectural Visualization,  Design and Visualization,  Enterprise Software,  Construction and Fabrication Documents,  Information Technology","tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
"Education,  Education General,  Music Education Advocacy,  Music Education Resources,  Professional Development For Music Teachers,  Public Awareness Campaigns For Music Education,  Music Education","entertainment, media, film, music, theater, broadcasting, publishing, content production, multimedia"
Government Administration,"government, public sector, municipal, state, federal, public administration, government services, public policy"
"Information Technology,  Defense and Space Manufacturing,  Management Consulting,  Data Integration,  Engineering,  Business Services,  Data and Analytics,  Electronics,  Software,  Military,  Security,  Systems Engineering,  Privacy and Security,  Software Engineering,  Contracts,  Supply Chain,  Manufacturing,  Logistics,  Aerospace,  Defense,  Unmanned Systems,  C4Isr,  Cyber,  Cyber Security,  Advanced Electronics,  Directed Energy,  Space","tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
"Collaboration,  Project Management,  Software,  SaaS,  Software Development,  Software Development & Design,  Business/Productivity Software,  Automation/Workflow Software,  Team Management,  Task Management,  Communication,  Production Tracking","tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Hospitality,"food, beverage, restaurant, cafe, drink, food services, hospitality, catering, food production, beverage production"
"Real Estate,  Hotels and Resorts","construction, building, contractor, infrastructure, civil engineering, construction services, real estate development"
Hospitality,"food, beverage, restaurant, cafe, drink, food services, hospitality, catering, food production, beverage production"
Travel Arrangements,"hospitality, hotel, resort, travel, tourism, lodging, accommodation services, hospitality management"
